Number,Name,Type,Species,Height,Weight,Description,Abilities,Stats,Moves
88,Grimer,"Poison","Sludge Pokémon","0.9m (2′11″)","30.0kg (66.1lbs)","Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.","Stench, Sticky Hold, Poison Touch (hidden ability)","HP: 80; Attack: 80; Defense: 50; Sp. Atk: 40; Sp. Def: 50; Speed: 25; Total: 325","LVL: 1, Move: Poison Gas, Type: Poison, Power: —, Accuracy: 90; LVL: 1, Move: Pound, Type: Normal, Power: 40, Accuracy: 100; LVL: 4, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 7, Move: Mud-Slap, Type: Ground, Power: 20, Accuracy: 100; LVL: 12, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 15, Move: Sludge, Type: Poison, Power: 65, Accuracy: 100; LVL: 18, Move: Smog, Type: Poison, Power: 30, Accuracy: 70; LVL: 21, Move: Minimize, Type: Normal, Power: —, Accuracy: —; LVL: 26, Move: Fling, Type: Dark, Power: —, Accuracy: 100; LVL: 29, Move: Sludge Bomb, Type: Poison, Power: 90, Accuracy: 100; LVL: 32, Move: Sludge Wave, Type: Poison, Power: 95, Accuracy: 100; LVL: 37, Move: Screech, Type: Normal, Power: —, Accuracy: 85; LVL: 40, Move: Gunk Shot, Type: Poison, Power: 120, Accuracy: 80; LVL: 43, Move: Acid Armor, Type: Poison, Power: —, Accuracy: —; LVL: 46, Move: Belch, Type: Poison, Power: 120, Accuracy: 90; LVL: 48, Move: Memento, Type: Dark, Power: —, Accuracy: 100"
89,Muk,"Poison","Sludge Pokémon","1.2m (3′11″)","30.0kg (66.1lbs)","Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.","Stench, Sticky Hold, Poison Touch (hidden ability)","HP: 105; Attack: 105; Defense: 75; Sp. Atk: 65; Sp. Def: 100; Speed: 50; Total: 500","LVL: 1, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Mud-Slap, Type: Ground, Power: 20, Accuracy: 100; LVL: 1, Move: Poison Gas, Type: Poison, Power: —, Accuracy: 90; LVL: 1, Move: Pound, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Venom Drench, Type: Poison, Power: —, Accuracy: 100; LVL: 4, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 7, Move: Mud-Slap, Type: Ground, Power: 20, Accuracy: 100; LVL: 12, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 15, Move: Sludge, Type: Poison, Power: 65, Accuracy: 100; LVL: 18, Move: Smog, Type: Poison, Power: 30, Accuracy: 70; LVL: 21, Move: Minimize, Type: Normal, Power: —, Accuracy: —; LVL: 26, Move: Fling, Type: Dark, Power: —, Accuracy: 100; LVL: 29, Move: Sludge Bomb, Type: Poison, Power: 90, Accuracy: 100; LVL: 32, Move: Sludge Wave, Type: Poison, Power: 95, Accuracy: 100; LVL: 37, Move: Screech, Type: Normal, Power: —, Accuracy: 85; LVL: 40, Move: Gunk Shot, Type: Poison, Power: 120, Accuracy: 80; LVL: 46, Move: Acid Armor, Type: Poison, Power: —, Accuracy: —; LVL: 52, Move: Belch, Type: Poison, Power: 120, Accuracy: 90; LVL: 57, Move: Memento, Type: Dark, Power: —, Accuracy: 100"
90,Shellder,"Water","Bivalve Pokémon","0.3m (1′00″)","4.0kg (8.8lbs)","Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.","Shell Armor, Skill Link, Overcoat (hidden ability)","HP: 30; Attack: 65; Defense: 100; Sp. Atk: 45; Sp. Def: 25; Speed: 40; Total: 305","LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 4, Move: Withdraw, Type: Water, Power: —, Accuracy: —; LVL: 8, Move: Ice Shard, Type: Ice, Power: 40, Accuracy: 100; LVL: 12, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 16, Move: Whirlpool, Type: Water, Power: 35, Accuracy: 85; LVL: 20, Move: Supersonic, Type: Normal, Power: —, Accuracy: 55; LVL: 24, Move: Aurora Beam, Type: Ice, Power: 65, Accuracy: 100; LVL: 28, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 32, Move: Razor Shell, Type: Water, Power: 75, Accuracy: 95; LVL: 36, Move: Iron Defense, Type: Steel, Power: —, Accuracy: —; LVL: 40, Move: Ice Beam, Type: Ice, Power: 90, Accuracy: 100; LVL: 44, Move: Shell Smash, Type: Normal, Power: —, Accuracy: —; LVL: 48, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 4, Move: Withdraw, Type: Water, Power: —, Accuracy: —; LVL: 8, Move: Ice Shard, Type: Ice, Power: 40, Accuracy: 100; LVL: 12, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 16, Move: Whirlpool, Type: Water, Power: 35, Accuracy: 85; LVL: 20, Move: Supersonic, Type: Normal, Power: —, Accuracy: 55; LVL: 24, Move: Aurora Beam, Type: Ice, Power: 65, Accuracy: 100; LVL: 28, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 32, Move: Razor Shell, Type: Water, Power: 75, Accuracy: 95; LVL: 36, Move: Iron Defense, Type: Steel, Power: —, Accuracy: —; LVL: 40, Move: Ice Beam, Type: Ice, Power: 90, Accuracy: 100; LVL: 44, Move: Shell Smash, Type: Normal, Power: —, Accuracy: —; LVL: 48, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80"
91,Cloyster,"Water, Ice","Bivalve Pokémon","1.5m (4′11″)","132.5kg (292.1lbs)","When attacked, it launches its horns in quick volleys. Its innards have never been seen.","Shell Armor, Skill Link, Overcoat (hidden ability)","HP: 50; Attack: 95; Defense: 180; Sp. Atk: 85; Sp. Def: 45; Speed: 70; Total: 525","LVL: 1, Move: Aurora Beam, Type: Ice, Power: 65, Accuracy: 100; LVL: 1, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 1, Move: Ice Beam, Type: Ice, Power: 90, Accuracy: 100; LVL: 1, Move: Ice Shard, Type: Ice, Power: 40, Accuracy: 100; LVL: 1, Move: Icicle Crash, Type: Ice, Power: 85, Accuracy: 90; LVL: 1, Move: Iron Defense, Type: Steel, Power: —, Accuracy: —; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Shell Smash, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Spikes, Type: Ground, Power: —, Accuracy: —; LVL: 1, Move: Supersonic, Type: Normal, Power: —, Accuracy: 55; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Toxic Spikes, Type: Poison, Power: —, Accuracy: —; LVL: 1, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 1, Move: Whirlpool, Type: Water, Power: 35, Accuracy: 85; LVL: 1, Move: Withdraw, Type: Water, Power: —, Accuracy: —; LVL: 5, Move: Razor Shell, Type: Water, Power: 75, Accuracy: 95; LVL: 1, Move: Aurora Beam, Type: Ice, Power: 65, Accuracy: 100; LVL: 1, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 1, Move: Ice Beam, Type: Ice, Power: 90, Accuracy: 100; LVL: 1, Move: Ice Shard, Type: Ice, Power: 40, Accuracy: 100; LVL: 1, Move: Icicle Crash, Type: Ice, Power: 85, Accuracy: 90; LVL: 1, Move: Icicle Spear, Type: Ice, Power: 25, Accuracy: 100; LVL: 1, Move: Iron Defense, Type: Steel, Power: —, Accuracy: —; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Razor Shell, Type: Water, Power: 75, Accuracy: 95; LVL: 1, Move: Shell Smash, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Spikes, Type: Ground, Power: —, Accuracy: —; LVL: 1, Move: Supersonic, Type: Normal, Power: —, Accuracy: 55; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Toxic Spikes, Type: Poison, Power: —, Accuracy: —; LVL: 1, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 1, Move: Whirlpool, Type: Water, Power: 35, Accuracy: 85; LVL: 1, Move: Withdraw, Type: Water, Power: —, Accuracy: —"
92,Gastly,"Ghost, Poison","Gas Pokémon","1.3m (4′03″)","0.1kg (0.2lbs)","Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice.","Levitate","HP: 30; Attack: 35; Defense: 30; Sp. Atk: 100; Sp. Def: 35; Speed: 80; Total: 310","LVL: 1, Move: Confuse Ray, Type: Ghost, Power: —, Accuracy: 100; LVL: 1, Move: Lick, Type: Ghost, Power: 30, Accuracy: 100; LVL: 4, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 8, Move: Mean Look, Type: Normal, Power: —, Accuracy: —; LVL: 12, Move: Payback, Type: Dark, Power: 50, Accuracy: 100; LVL: 16, Move: Spite, Type: Ghost, Power: —, Accuracy: 100; LVL: 20, Move: Curse, Type: Ghost, Power: —, Accuracy: —; LVL: 24, Move: Hex, Type: Ghost, Power: 65, Accuracy: 100; LVL: 28, Move: Night Shade, Type: Ghost, Power: —, Accuracy: 100; LVL: 32, Move: Sucker Punch, Type: Dark, Power: 70, Accuracy: 100; LVL: 36, Move: Dark Pulse, Type: Dark, Power: 80, Accuracy: 100; LVL: 40, Move: Shadow Ball, Type: Ghost, Power: 80, Accuracy: 100; LVL: 44, Move: Destiny Bond, Type: Ghost, Power: —, Accuracy: —; LVL: 48, Move: Dream Eater, Type: Psychic, Power: 100, Accuracy: 100; LVL: 1, Move: Astonish, Type: Ghost, Power: 30, Accuracy: 100; LVL: 6, Move: Poison Gas, Type: Poison, Power: —, Accuracy: 90; LVL: 11, Move: Hex, Type: Ghost, Power: 65, Accuracy: 100; LVL: 18, Move: Venoshock, Type: Poison, Power: 65, Accuracy: 100; LVL: 25, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 34, Move: Dark Pulse, Type: Dark, Power: 80, Accuracy: 100; LVL: 43, Move: Shadow Ball, Type: Ghost, Power: 80, Accuracy: 100"
93,Haunter,"Ghost, Poison","Gas Pokémon","1.6m (5′03″)","0.1kg (0.2lbs)","Because of its ability to slip through block walls, it is said to be from another dimension.","Levitate","HP: 45; Attack: 50; Defense: 45; Sp. Atk: 115; Sp. Def: 55; Speed: 95; Total: 405","LVL: 1, Move: Confuse Ray, Type: Ghost, Power: —, Accuracy: 100; LVL: 1, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 1, Move: Lick, Type: Ghost, Power: 30, Accuracy: 100; LVL: 1, Move: Mean Look, Type: Normal, Power: —, Accuracy: —; LVL: 12, Move: Payback, Type: Dark, Power: 50, Accuracy: 100; LVL: 16, Move: Spite, Type: Ghost, Power: —, Accuracy: 100; LVL: 20, Move: Curse, Type: Ghost, Power: —, Accuracy: —; LVL: 24, Move: Hex, Type: Ghost, Power: 65, Accuracy: 100; LVL: 30, Move: Night Shade, Type: Ghost, Power: —, Accuracy: 100; LVL: 36, Move: Sucker Punch, Type: Dark, Power: 70, Accuracy: 100; LVL: 42, Move: Dark Pulse, Type: Dark, Power: 80, Accuracy: 100; LVL: 48, Move: Shadow Ball, Type: Ghost, Power: 80, Accuracy: 100; LVL: 54, Move: Destiny Bond, Type: Ghost, Power: —, Accuracy: —; LVL: 60, Move: Dream Eater, Type: Psychic, Power: 100, Accuracy: 100; LVL: 1, Move: Astonish, Type: Ghost, Power: 30, Accuracy: 100; LVL: 6, Move: Poison Gas, Type: Poison, Power: —, Accuracy: 90; LVL: 11, Move: Hex, Type: Ghost, Power: 65, Accuracy: 100; LVL: 18, Move: Venoshock, Type: Poison, Power: 65, Accuracy: 100; LVL: 25, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 34, Move: Dark Pulse, Type: Dark, Power: 80, Accuracy: 100; LVL: 43, Move: Shadow Ball, Type: Ghost, Power: 80, Accuracy: 100"
94,Gengar,"Ghost, Poison","Shadow Pokémon","1.5m (4′11″)","40.5kg (89.3lbs)","Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright.","Cursed Body","HP: 60; Attack: 65; Defense: 60; Sp. Atk: 130; Sp. Def: 75; Speed: 110; Total: 500","LVL: 1, Move: Confuse Ray, Type: Ghost, Power: —, Accuracy: 100; LVL: 1, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 1, Move: Lick, Type: Ghost, Power: 30, Accuracy: 100; LVL: 1, Move: Mean Look, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Perish Song, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Reflect Type, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Shadow Punch, Type: Ghost, Power: 60, Accuracy: ∞; LVL: 12, Move: Payback, Type: Dark, Power: 50, Accuracy: 100; LVL: 16, Move: Spite, Type: Ghost, Power: —, Accuracy: 100; LVL: 20, Move: Curse, Type: Ghost, Power: —, Accuracy: —; LVL: 24, Move: Hex, Type: Ghost, Power: 65, Accuracy: 100; LVL: 30, Move: Night Shade, Type: Ghost, Power: —, Accuracy: 100; LVL: 36, Move: Sucker Punch, Type: Dark, Power: 70, Accuracy: 100; LVL: 42, Move: Dark Pulse, Type: Dark, Power: 80, Accuracy: 100; LVL: 48, Move: Shadow Ball, Type: Ghost, Power: 80, Accuracy: 100; LVL: 54, Move: Destiny Bond, Type: Ghost, Power: —, Accuracy: —; LVL: 60, Move: Dream Eater, Type: Psychic, Power: 100, Accuracy: 100; LVL: 1, Move: Astonish, Type: Ghost, Power: 30, Accuracy: 100; LVL: 6, Move: Poison Gas, Type: Poison, Power: —, Accuracy: 90; LVL: 11, Move: Hex, Type: Ghost, Power: 65, Accuracy: 100; LVL: 18, Move: Venoshock, Type: Poison, Power: 65, Accuracy: 100; LVL: 25, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 34, Move: Dark Pulse, Type: Dark, Power: 80, Accuracy: 100; LVL: 43, Move: Shadow Ball, Type: Ghost, Power: 80, Accuracy: 100"
95,Onix,"Rock, Ground","Rock Snake Pokémon","8.8m (28′10″)","210.0kg (463.0lbs)","As it grows, the stone portions of its body harden to become similar to a diamond, but colored black.","Rock Head, Sturdy, Weak Armor (hidden ability)","HP: 35; Attack: 45; Defense: 160; Sp. Atk: 30; Sp. Def: 45; Speed: 70; Total: 385","LVL: 1, Move: Bind, Type: Normal, Power: 15, Accuracy: 85; LVL: 1, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Rock Throw, Type: Rock, Power: 50, Accuracy: 90; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 4, Move: Smack Down, Type: Rock, Power: 50, Accuracy: 100; LVL: 8, Move: Rock Polish, Type: Rock, Power: —, Accuracy: —; LVL: 12, Move: Dragon Breath, Type: Dragon, Power: 60, Accuracy: 100; LVL: 16, Move: Curse, Type: Ghost, Power: —, Accuracy: —; LVL: 20, Move: Rock Slide, Type: Rock, Power: 75, Accuracy: 90; LVL: 24, Move: Screech, Type: Normal, Power: —, Accuracy: 85; LVL: 28, Move: Sand Tomb, Type: Ground, Power: 35, Accuracy: 85; LVL: 32, Move: Stealth Rock, Type: Rock, Power: —, Accuracy: —; LVL: 36, Move: Slam, Type: Normal, Power: 80, Accuracy: 75; LVL: 40, Move: Sandstorm, Type: Rock, Power: —, Accuracy: —; LVL: 44, Move: Dig, Type: Ground, Power: 80, Accuracy: 100; LVL: 48, Move: Iron Tail, Type: Steel, Power: 100, Accuracy: 75; LVL: 52, Move: Stone Edge, Type: Rock, Power: 100, Accuracy: 80; LVL: 56, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 1, Move: Rollout, Type: Rock, Power: 30, Accuracy: 90; LVL: 6, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 11, Move: Bulldoze, Type: Ground, Power: 60, Accuracy: 100; LVL: 18, Move: Rock Slide, Type: Rock, Power: 75, Accuracy: 90; LVL: 25, Move: Stealth Rock, Type: Rock, Power: —, Accuracy: —; LVL: 34, Move: High Horsepower, Type: Ground, Power: 95, Accuracy: 95; LVL: 43, Move: Iron Tail, Type: Steel, Power: 100, Accuracy: 75"
96,Drowzee,"Psychic","Hypnosis Pokémon","1.0m (3′03″)","32.4kg (71.4lbs)","Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.","Insomnia, Forewarn, Inner Focus (hidden ability)","HP: 60; Attack: 48; Defense: 45; Sp. Atk: 43; Sp. Def: 90; Speed: 42; Total: 328","LVL: 1, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 1, Move: Pound, Type: Normal, Power: 40, Accuracy: 100; LVL: 5, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 9, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 13, Move: Headbutt, Type: Normal, Power: 70, Accuracy: 100; LVL: 17, Move: Poison Gas, Type: Poison, Power: —, Accuracy: 90; LVL: 21, Move: Psybeam, Type: Psychic, Power: 65, Accuracy: 100; LVL: 25, Move: Psych Up, Type: Normal, Power: —, Accuracy: —; LVL: 29, Move: Zen Headbutt, Type: Psychic, Power: 80, Accuracy: 90; LVL: 33, Move: Swagger, Type: Normal, Power: —, Accuracy: 85; LVL: 37, Move: Psychic, Type: Psychic, Power: 90, Accuracy: 100; LVL: 41, Move: Nasty Plot, Type: Dark, Power: —, Accuracy: —; LVL: 45, Move: Psyshock, Type: Psychic, Power: 80, Accuracy: 100; LVL: 49, Move: Future Sight, Type: Psychic, Power: 120, Accuracy: 100; LVL: 1, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 1, Move: Pound, Type: Normal, Power: 40, Accuracy: 100; LVL: 5, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 9, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 13, Move: Headbutt, Type: Normal, Power: 70, Accuracy: 100; LVL: 17, Move: Poison Gas, Type: Poison, Power: —, Accuracy: 90; LVL: 21, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 25, Move: Psybeam, Type: Psychic, Power: 65, Accuracy: 100; LVL: 29, Move: Mind Reader, Type: Normal, Power: —, Accuracy: —; LVL: 33, Move: Psych Up, Type: Normal, Power: —, Accuracy: —; LVL: 37, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 41, Move: Zen Headbutt, Type: Psychic, Power: 80, Accuracy: 90; LVL: 45, Move: Swagger, Type: Normal, Power: —, Accuracy: 85; LVL: 49, Move: Psychic, Type: Psychic, Power: 90, Accuracy: 100; LVL: 53, Move: Nasty Plot, Type: Dark, Power: —, Accuracy: —; LVL: 57, Move: Psyshock, Type: Psychic, Power: 80, Accuracy: 100; LVL: 61, Move: Future Sight, Type: Psychic, Power: 120, Accuracy: 100"
97,Hypno,"Psychic","Hypnosis Pokémon","1.6m (5′03″)","75.6kg (166.7lbs)","When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION.","Insomnia, Forewarn, Inner Focus (hidden ability)","HP: 85; Attack: 73; Defense: 70; Sp. Atk: 73; Sp. Def: 115; Speed: 67; Total: 483","LVL: 1, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 1, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 1, Move: Pound, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Switcheroo, Type: Dark, Power: —, Accuracy: 100; LVL: 13, Move: Headbutt, Type: Normal, Power: 70, Accuracy: 100; LVL: 17, Move: Poison Gas, Type: Poison, Power: —, Accuracy: 90; LVL: 21, Move: Psybeam, Type: Psychic, Power: 65, Accuracy: 100; LVL: 25, Move: Psych Up, Type: Normal, Power: —, Accuracy: —; LVL: 32, Move: Zen Headbutt, Type: Psychic, Power: 80, Accuracy: 90; LVL: 37, Move: Swagger, Type: Normal, Power: —, Accuracy: 85; LVL: 42, Move: Psychic, Type: Psychic, Power: 90, Accuracy: 100; LVL: 47, Move: Nasty Plot, Type: Dark, Power: —, Accuracy: —; LVL: 51, Move: Psyshock, Type: Psychic, Power: 80, Accuracy: 100; LVL: 56, Move: Future Sight, Type: Psychic, Power: 120, Accuracy: 100; LVL: 1, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 1, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Future Sight, Type: Psychic, Power: 120, Accuracy: 100; LVL: 1, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 1, Move: Nasty Plot, Type: Dark, Power: —, Accuracy: —; LVL: 1, Move: Pound, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Switcheroo, Type: Dark, Power: —, Accuracy: 100; LVL: 5, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 9, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 13, Move: Headbutt, Type: Normal, Power: 70, Accuracy: 100; LVL: 17, Move: Poison Gas, Type: Poison, Power: —, Accuracy: 90; LVL: 21, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 25, Move: Psybeam, Type: Psychic, Power: 65, Accuracy: 100; LVL: 29, Move: Mind Reader, Type: Normal, Power: —, Accuracy: —; LVL: 33, Move: Psych Up, Type: Normal, Power: —, Accuracy: —; LVL: 37, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 41, Move: Zen Headbutt, Type: Psychic, Power: 80, Accuracy: 90; LVL: 45, Move: Swagger, Type: Normal, Power: —, Accuracy: 85; LVL: 49, Move: Psychic, Type: Psychic, Power: 90, Accuracy: 100; LVL: 53, Move: Nasty Plot, Type: Dark, Power: —, Accuracy: —; LVL: 57, Move: Psyshock, Type: Psychic, Power: 80, Accuracy: 100; LVL: 61, Move: Future Sight, Type: Psychic, Power: 120, Accuracy: 100"
98,Krabby,"Water","River Crab Pokémon","0.4m (1′04″)","6.5kg (14.3lbs)","Its pincers are not only powerful weapons, they are used for balance when walking sideways.","Hyper Cutter, Shell Armor, Sheer Force (hidden ability)","HP: 30; Attack: 105; Defense: 90; Sp. Atk: 25; Sp. Def: 25; Speed: 50; Total: 325","LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 4, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 8, Move: Metal Claw, Type: Steel, Power: 50, Accuracy: 95; LVL: 12, Move: Mud Shot, Type: Ground, Power: 55, Accuracy: 95; LVL: 16, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 20, Move: Bubble Beam, Type: Water, Power: 65, Accuracy: 100; LVL: 24, Move: Stomp, Type: Normal, Power: 65, Accuracy: 100; LVL: 29, Move: Flail, Type: Normal, Power: —, Accuracy: 100; LVL: 32, Move: Razor Shell, Type: Water, Power: 75, Accuracy: 95; LVL: 36, Move: Slam, Type: Normal, Power: 80, Accuracy: 75; LVL: 40, Move: Swords Dance, Type: Normal, Power: —, Accuracy: —; LVL: 44, Move: Crabhammer, Type: Water, Power: 100, Accuracy: 90; LVL: 48, Move: Guillotine, Type: Normal, Power: —, Accuracy: 30; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 4, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 8, Move: Metal Claw, Type: Steel, Power: 50, Accuracy: 95; LVL: 12, Move: Mud Shot, Type: Ground, Power: 55, Accuracy: 95; LVL: 16, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 20, Move: Bubble Beam, Type: Water, Power: 65, Accuracy: 100; LVL: 24, Move: Stomp, Type: Normal, Power: 65, Accuracy: 100; LVL: 29, Move: Flail, Type: Normal, Power: —, Accuracy: 100; LVL: 32, Move: Razor Shell, Type: Water, Power: 75, Accuracy: 95; LVL: 36, Move: Slam, Type: Normal, Power: 80, Accuracy: 75; LVL: 40, Move: Swords Dance, Type: Normal, Power: —, Accuracy: —; LVL: 44, Move: Crabhammer, Type: Water, Power: 100, Accuracy: 90; LVL: 48, Move: Guillotine, Type: Normal, Power: —, Accuracy: 30"
99,Kingler,"Water","Pincer Pokémon","1.3m (4′03″)","60.0kg (132.3lbs)","The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use.","Hyper Cutter, Shell Armor, Sheer Force (hidden ability)","HP: 55; Attack: 130; Defense: 115; Sp. Atk: 50; Sp. Def: 50; Speed: 75; Total: 475","LVL: 1, Move: Hammer Arm, Type: Fighting, Power: 100, Accuracy: 90; LVL: 1, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Metal Claw, Type: Steel, Power: 50, Accuracy: 95; LVL: 1, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 1, Move: Wide Guard, Type: Rock, Power: —, Accuracy: —; LVL: 12, Move: Mud Shot, Type: Ground, Power: 55, Accuracy: 95; LVL: 16, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 20, Move: Bubble Beam, Type: Water, Power: 65, Accuracy: 100; LVL: 24, Move: Stomp, Type: Normal, Power: 65, Accuracy: 100; LVL: 31, Move: Flail, Type: Normal, Power: —, Accuracy: 100; LVL: 36, Move: Razor Shell, Type: Water, Power: 75, Accuracy: 95; LVL: 42, Move: Slam, Type: Normal, Power: 80, Accuracy: 75; LVL: 48, Move: Swords Dance, Type: Normal, Power: —, Accuracy: —; LVL: 54, Move: Crabhammer, Type: Water, Power: 100, Accuracy: 90; LVL: 60, Move: Guillotine, Type: Normal, Power: —, Accuracy: 30; LVL: 1, Move: Hammer Arm, Type: Fighting, Power: 100, Accuracy: 90; LVL: 1, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Metal Claw, Type: Steel, Power: 50, Accuracy: 95; LVL: 1, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 1, Move: Wide Guard, Type: Rock, Power: —, Accuracy: —; LVL: 12, Move: Mud Shot, Type: Ground, Power: 55, Accuracy: 95; LVL: 16, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 20, Move: Bubble Beam, Type: Water, Power: 65, Accuracy: 100; LVL: 24, Move: Stomp, Type: Normal, Power: 65, Accuracy: 100; LVL: 31, Move: Flail, Type: Normal, Power: —, Accuracy: 100; LVL: 36, Move: Razor Shell, Type: Water, Power: 75, Accuracy: 95; LVL: 42, Move: Slam, Type: Normal, Power: 80, Accuracy: 75; LVL: 48, Move: Swords Dance, Type: Normal, Power: —, Accuracy: —; LVL: 54, Move: Crabhammer, Type: Water, Power: 100, Accuracy: 90; LVL: 60, Move: Guillotine, Type: Normal, Power: —, Accuracy: 30"
